"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"1786",2058,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,1,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"oral swab","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","oropharyngeal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","detection of alpha and betacoronaviruses in multiple iberian bat species","1304","detection of alpha and betacoronaviruses in multiple iberian bat species",0.392699081698724,0.166666666666667,0,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","VESPERTILIONIDAE"
"1787",2057,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,1,0,0,"Pipistrellus pygmaeus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"oral swab","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","oropharyngeal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","detection of alpha and betacoronaviruses in multiple iberian bat species","1305","detection of alpha and betacoronaviruses in multiple iberian bat species",0.392699081698724,0.166666666666667,0,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","VESPERTILIONIDAE"
"1790",2067,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,7,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Plecotus auritus","Plecotus auritus","detection of alpha and betacoronaviruses in multiple iberian bat species","1306","detection of alpha and betacoronaviruses in multiple iberian bat species",0.180683561953354,0.0333333333333333,0,"Plecotus auritus","Plecotus auritus","VESPERTILIONIDAE"
"1791",2068,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,7,0,0,"Plecotus austriacus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Plecotus austriacus","Plecotus austriacus","detection of alpha and betacoronaviruses in multiple iberian bat species","1307","detection of alpha and betacoronaviruses in multiple iberian bat species",0.180683561953354,0.0333333333333333,0,"Plecotus austriacus","Plecotus austriacus","VESPERTILIONIDAE"
"1792",2069,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,10,0,0,"Plecotus austriacus","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"oral swab","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","oropharyngeal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Plecotus austriacus","Plecotus austriacus","detection of alpha and betacoronaviruses in multiple iberian bat species","1308","detection of alpha and betacoronaviruses in multiple iberian bat species",0.153138684584835,0.0238095238095238,0,"Plecotus austriacus","Plecotus austriacus","VESPERTILIONIDAE"
"1793",2070,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,13,0,0,"Rhinolophus euryale","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"oral swab","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","oropharyngeal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus euryale","Rhinolophus euryale","detection of alpha and betacoronaviruses in multiple iberian bat species","1309","detection of alpha and betacoronaviruses in multiple iberian bat species",0.135274881489286,0.0185185185185185,0,"Rhinolophus euryale","Rhinolophus euryale","RHINOLOPHIDAE"
"1794",2071,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,3,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","detection of alpha and betacoronaviruses in multiple iberian bat species","1310","detection of alpha and betacoronaviruses in multiple iberian bat species",0.261799387799149,0.0714285714285714,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"1795",2072,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,5,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"oral swab","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:29pm","oropharyngeal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","detection of alpha and betacoronaviruses in multiple iberian bat species","1311","detection of alpha and betacoronaviruses in multiple iberian bat species",0.210267167641983,0.0454545454545455,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"1796",2073,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,4,0,0,"Rhinolophus hipposideros","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","detection of alpha and betacoronaviruses in multiple iberian bat species","1312","detection of alpha and betacoronaviruses in multiple iberian bat species",0.231823804500403,0.0555555555555556,0,"Rhinolophus hipposideros","Rhinolophus hipposideros","RHINOLOPHIDAE"
"1797",2074,"detection of alpha and betacoronaviruses in multiple iberian bat species","Falcón et al.","Arch Virol",2011,1,0,0,"Rhinolophus mehelyi","alphacoronavirus or betacoronavirus","","","","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"oral swab","Spain","N","","","NA","NA","","2004","",2007,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","oropharyngeal","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Rhinolophus mehelyi","Rhinolophus mehelyi","detection of alpha and betacoronaviruses in multiple iberian bat species","1313","detection of alpha and betacoronaviruses in multiple iberian bat species",0.392699081698724,0.166666666666667,0,"Rhinolophus mehelyi","Rhinolophus mehelyi","RHINOLOPHIDAE"
"1805",2088,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,5,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Haut-Ogooue","Dijibilong Cave","13°46 E","1°36 S","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",-1.6,13.7666666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1314","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.210267167641983,0.0454545454545455,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1806",2089,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,69,0,0,"Miniopterus inflatus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Haut-Ogooue","Dijibilong Cave","13°46 E","1°36 S","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",-1.6,13.7666666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Miniopterus inflatus","Miniopterus inflatus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1315","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0599046421572721,0.00359712230215827,0,"Miniopterus inflatus","Miniopterus inflatus","VESPERTILIONIDAE"
"1807",2090,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,8,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Haut-Ogooue","Dijibilong Cave","13°46 E","1°36 S","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",-1.6,13.7666666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1316","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.169918454727061,0.0294117647058824,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1808",2091,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,10,0,0,"Coleura afra","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Batouala Cave","13°45 E","0°82N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.75,"Yes, for this study","Yes","PCR","genus not specified",1,"Coleura afra","Coleura afra","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1317","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.153138684584835,0.0238095238095238,0,"Coleura afra","Coleura afra","EMBALLONURIDAE"
"1809",2092,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,17,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Batouala Cave","13°45 E","0°82N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.75,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1318","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.118970562415104,0.0142857142857143,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1810",2093,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,4,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Batouala Cave","13°45 E","0°82N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.75,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1319","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.231823804500403,0.0555555555555556,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1811",2094,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,6,0,0,"Miniopterus inflatus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Batouala Cave","13°45 E","0°82N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.75,"Yes, for this study","Yes","PCR","genus not specified",1,"Miniopterus inflatus","Miniopterus inflatus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1320","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.19379834332759,0.0384615384615385,0,"Miniopterus inflatus","Miniopterus inflatus","VESPERTILIONIDAE"
"1812",2095,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,6,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Batouala Cave","13°45 E","0°82N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.75,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1321","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.19379834332759,0.0384615384615385,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1813",2096,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,46,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1322","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0731936296471245,0.00537634408602151,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1814",2097,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,7,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1323","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.180683561953354,0.0333333333333333,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1815",2098,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,37,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1324","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0814707393052597,0.00666666666666667,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1816",2099,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,16,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2010","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1325","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.122489331563432,0.0151515151515152,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1817",2100,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,5,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2010","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1326","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.210267167641983,0.0454545454545455,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1818",2101,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,28,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2010","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1327","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0933897305407968,0.0087719298245614,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1819",2102,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,25,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1328","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0986977799249404,0.00980392156862745,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1820",2103,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,25,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1329","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0986977799249404,0.00980392156862745,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1821",2104,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,50,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1330","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0702448508767602,0.00495049504950495,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1822",2105,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,1,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1331","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.392699081698724,0.166666666666667,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1823",2106,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,3,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1332","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.261799387799149,0.0714285714285714,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1824",2107,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,35,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Zadie Cave"," 13°19 E","0°98N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.3166666666667,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1333","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0837240396098447,0.00704225352112676,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
"1825",2108,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,4,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Lolo","Kessipoughou","12°77 E","0°86 S","2014","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.2833333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1334","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.231823804500403,0.0555555555555556,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1826",2109,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,4,0,0,"Miniopterus inflatus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Lolo","Kessipoughou","12°77 E","0°86 S","2014","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.2833333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Miniopterus inflatus","Miniopterus inflatus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1335","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.231823804500403,0.0555555555555556,0,"Miniopterus inflatus","Miniopterus inflatus","VESPERTILIONIDAE"
"1827",2110,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,119,0,0,"Rousettus aegyptiacus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Lolo","Kessipoughou","12°77 E","0°86 S","2014","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",0,13.2833333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Rousettus aegyptiacus","Rousettus aegyptiacus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1336","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0457071791860237,0.00209205020920502,0,"Rousettus aegyptiacus","Rousettus aegyptiacus","PTEROPODIDAE"
