"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"1:361","say no to bat fried rice: changing the narrative of coronavirus and chinese food","King","Food and Foodways",2020,"10.1080/07409710.2020.1794182",802,"King 2020 Food and Foodways","WOS","","","",""
"1:335","scientific statement on the coverage of bats by the current pesticide risk assessment for birds and mammals","Hernandez-jerez et al.","Efsa Journal",2019,"10.2903/j.efsa.2019.5758",803,"Hernandez-jerez et al. 2019 Efsa Journal","WOS","","","",""
"1:56","screening for pain phenotypes: analysis of three congenic mouse strains on a battery of nine nociceptive assays","Mogil et al.","Pain",2006,"10.1016/j.pain.2006.06.004",804,"Mogil et al. 2006 Pain","WOS","","","",""
"1:219","searcher efficiency and survey coverage affect precision of fatality estimates","Reyes et al.","Journal of Wildlife Management",2016,"10.1002/jwmg.21126",805,"Reyes et al. 2016 Journal of Wildlife Management","WOS","","","",""
"1:221","seasonal differences in foraging dynamics, habitat use and home range size of wahlberg's epauletted fruit bat in an urban environment","Rollinson et al.","African Zoology",2013,"10.3377/004.048.0218",806,"Rollinson et al. 2013 African Zoology","WOS","","","",""
"1:230","seasonal fluctuations of astrovirus, but not coronavirus shedding in bats inhabiting human-modified tropical forests","Seltmann et al.","Ecohealth",2017,"10.1007/s10393-017-1245-x",807,"Seltmann et al. 2017 Ecohealth","WOS","","","",""
"1:28","selection of roosting and foraging habitat by bats in different-aged aspen mixedwood stands","Crampton & Barclay","Conservation Biology",1998,"10.1046/j.1523-1739.1998.97209.x",808,"Crampton & Barclay 1998 Conservation Biology","WOS","","","",""
"1:371","selection of viral variants during persistent infection of insectivorous bat cells with middle east respiratory syndrome coronavirus","Banerjee et al.","Scientific Reports",2020,"10.1038/s41598-020-64264-1",809,"Banerjee et al. 2020 Scientific Reports","WOS","","","",""
"1:20","selection, evolution of behavior and animal models in behavioral neuroscience","Parmigiani et al.","Neuroscience and Biobehavioral Reviews",1999,"10.1016/S0149-7634(99)00029-9",810,"Parmigiani et al. 1999 Neuroscience and Biobehavioral Reviews","WOS","","","",""
"1:269","sensitivity of populations of bats (mammalia: chiroptera) in relation to human development in northern parana, southern brazil","Reis et al.","Brazilian Journal of Biology",2012,"10.1590/S1519-69842012000300014",811,"Reis et al. 2012 Brazilian Journal of Biology","WOS","","","",""
"3:86","serological evidence of bat sars-related coronavirus infection in humans, china","Wang Ning et al.","Virologica Sinica",2018,"10.1007/s12250-018-0012-7",812,"Wang Ning et al. 2018 Virologica Sinica","CAB","","","",""
"2:69","serological evidence of mers-cov and hku8-related cov co-infection in kenyan camels","Zhang et al.","Emerg Microbes Infect",2019,"10.1080/22221751.2019.1679610",813,"Zhang et al. 2019 Emerg Microbes Infect","PubMed","","","",""
"2:435","serological evidence of toxoplasma gondii infection in five species of bats in china","Yuan et al.","Vector Borne Zoonotic Dis",2013,"10.1089/vbz.2012.1091",814,"Yuan et al. 2013 Vector Borne Zoonotic Dis","PubMed","","","",""
"1:116","serum-free transient protein production system based on adenoviral vector and per.c6 technology: high yield and preserved bioactivity","Havenga et al.","Biotechnology and Bioengineering",2008,"10.1002/bit.21757",815,"Havenga et al. 2008 Biotechnology and Bioengineering","WOS","","","",""
"2:162","severe acute respiratory syndrome (sars) coronavirus orf8 protein is acquired from sars-related coronavirus from greater horseshoe bats through recombination","Lau et al.","J Virol",2015,"10.1128/JVI.01048-15",816,"Lau et al. 2015 J Virol","PubMed","","","",""
"1:7","severe acute respiratory syndrome coronavirus as an agent of emerging and reemerging infection","Cheng et al.","Clinical Microbiology Reviews",2007,"10.1128/CMR.00023-07",817,"Cheng et al. 2007 Clinical Microbiology Reviews","WOS","","","",""
"1:1","severe acute respiratory syndrome coronavirus-like virus in chinese horseshoe bats","Lau et al.","Proceedings of The National Academy of Sciences of The United States of America",2005,"10.1073/pnas.0506735102",818,"Lau et al. 2005 Proceedings of The National Academy of Sciences of The United States of America","WOS","","","",""
"3:182","severe acute respiratory syndrome vs the middle east respiratory syndrome","Hui et al.","Current Opinion in Pulmonary Medicine",2014,"10.1097/MCP.0000000000000046",819,"Hui et al. 2014 Current Opinion in Pulmonary Medicine","CAB","","","",""
"1:252","sex-specific foraging habits and roost characteristics of nycticeius humeralis in north-central arkansas","Istvanko et al.","Journal of Mammalogy",2016,"10.1093/jmammal/gyw102",820,"Istvanko et al. 2016 Journal of Mammalogy","WOS","","","",""
"1:52","shrub encroachment affects mammalian carnivore abundance and species richness in semiarid rangelands","Blaum et al.","Acta Oecologica-international Journal of Ecology",2007,"10.1016/j.actao.2006.10.004",821,"Blaum et al. 2007 Acta Oecologica-international Journal of Ecology","WOS","","","",""
"2:190","simultaneous detection of severe acute respiratory syndrome, middle east respiratory syndrome, and related bat coronaviruses by real-time reverse transcription pcr","Noh et al.","Arch Virol",2017,"10.1007/s00705-017-3281-9",822,"Noh et al. 2017 Arch Virol","PubMed","","","",""
"1:132","single-click beam patterns suggest dynamic changes to the field of view of echolocating atlantic spotted dolphins (stenella frontalis) in the wild","Jensen et al.","Journal of Experimental Biology",2015,"10.1242/jeb.116285",823,"Jensen et al. 2015 Journal of Experimental Biology","WOS","","","",""
"1:210","small mammals from kuala atok, taman negara pahang, malaysia","Tingga et al.","Sains Malaysiana",2012,"",824,"Tingga et al. 2012 Sains Malaysiana","WOS","","","",""
"1:209","snowcover and melt characteristics of upland/lowland terrain: polar bear pass, bathurst island, nunavut, canada","Young et al.","Hydrology Research",2013,"10.2166/nh.2012.083",825,"Young et al. 2013 Hydrology Research","WOS","","","",""
"2:469","social networks, machine learning and cladistics in the time of covid-19","Díaz-badillo et al.","Cir Cir",2020,"10.24875/CIRU.M20000065",826,"Díaz-badillo et al. 2020 Cir Cir","PubMed","","","",""
"2:266","source of the covid-19 pandemic: ecology and genetics of coronaviruses (betacoronavirus: coronaviridae) sars-cov, sars-cov-2 (subgenus sarbecovirus), and mers-cov (subgenus merbecovirus).","Lvov & Alkhovsky","Vopr Virusol",2020,"10.36233/0507-4088-2020-65-2-62-70",827,"Lvov & Alkhovsky 2020 Vopr Virusol","PubMed","","","",""
"3:291","south african association of veterinary technologists","NA et al.","Journal of the South African Veterinary Association",2010,"",828,"NA et al. 2010 Journal of the South African Veterinary Association","CAB","","","",""
"1:155","space-time models for a panzootic in bats, with a focus on the endangered indiana bat","Thogmartin et al.","Journal of Wildlife Diseases",2012,"10.7589/2011-06-176",829,"Thogmartin et al. 2012 Journal of Wildlife Diseases","WOS","","","",""
"1:148","spatial distribution, territoriality and sound production by tropical cryptic butterflies (hamadryas, lepidoptera : nymphalidae): implications for the industrial melanism debate","Monge-najera et al.","Revista De Biologia Tropical",1998,"",830,"Monge-najera et al. 1998 Revista De Biologia Tropical","WOS","","","",""
"1:246","spatial variation of mercury bioaccumulation in bats of canada linked to atmospheric mercury deposition","Chetelat et al.","Science of The Total Environment",2018,"10.1016/j.scitotenv.2018.01.044",831,"Chetelat et al. 2018 Science of The Total Environment","WOS","","","",""
"1:326","spatiotemporal heterogeneity decouples infection parameters of amphibian chytridiomycosis","Mcmillan et al.","Journal of Animal Ecology",2020,"10.1111/1365-2656.13170",832,"Mcmillan et al. 2020 Journal of Animal Ecology","WOS","","","",""
"3:223","special issue: bat-associated diseases","Marsh","",2017,"",833,"Marsh 2017 ","CAB","","","",""
"3:207","special issue: emerging viruses: intraspecies transmission","NA et al.","",2019,"10.1016/j.coviro.2018.11.005",834,"NA et al. 2019 ","CAB","","","",""
"3:264","special issue: understanding emerging and re-emerging infectious diseases","Kasuga","",2011,"",835,"Kasuga 2011 ","CAB","","","",""
"3:260","special issue: viral pathogens in natural hosts and vectors","NA et al.","",2018,"10.1007/s12250-018-0021-6",836,"NA et al. 2018 ","CAB","","","",""
"3:195","special topic: haunted with and hunting for viruses","Gao & Wu","",2013,"",837,"Gao & Wu 2013 ","CAB","","","",""
"1:214","species richness and diversity of brackish and salt marshes in the rio grande delta","Judd & Lonard","Journal of Coastal Research",2002,"",838,"Judd & Lonard 2002 Journal of Coastal Research","WOS","","","",""
"2:167","species-specific colocalization of middle east respiratory syndrome coronavirus attachment and entry receptors","Widagdo et al.","J Virol",2019,"10.1128/JVI.00107-19",839,"Widagdo et al. 2019 J Virol","PubMed","","","",""
"1:312","spillover of sars-cov-2 into novel wild hosts in north america: a con- ceptual model for perpetuation of the pathogen","Franklin & Bevins","Science of The Total Environment",2020,"10.1016/j.scitotenv.2020.139358",840,"Franklin & Bevins 2020 Science of The Total Environment","WOS","","","",""
"3:242","staphylococcus aureus in animals and food: methicillin resistance, prevalence and population structure a review in the african continent","Lozano et al.","Microorganisms",2016,"10.3390/microorganisms4010012",841,"Lozano et al. 2016 Microorganisms","CAB","","","",""
"1:409","state and prospects of the botanicals industry in poland","Jambor","Zeitschrift Fur Arznei- & Gewurzpflanzen",2008,"",842,"Jambor 2008 Zeitschrift Fur Arznei- & Gewurzpflanzen","WOS","","","",""
"1:338","state-wide survey of amphibian pathogens in green frog (lithobates clamitans melanota) reveals high chytrid infection intensities in constructed wetlands","Julian et al.","Herpetological Conservation and Biology",2019,"",843,"Julian et al. 2019 Herpetological Conservation and Biology","WOS","","","",""
"1:21","sterol regulatory element-binding proteins induce an entire pathway of cholesterol synthesis","Sakakura et al.","Biochemical and Biophysical Research Communications",2001,"10.1006/bbrc.2001.5375",844,"Sakakura et al. 2001 Biochemical and Biophysical Research Communications","WOS","","","",""
"2:23","structural basis of receptor recognition by sars-cov-2","Shang et al.","Nature",2020,"10.1038/s41586-020-2179-y",845,"Shang et al. 2020 Nature","PubMed","","","",""
"1:31","structural characterization and immunogenicity in wild-type and immune tolerant mice of degraded recombinant human interferon alpha2b","Hermeling et al.","Pharmaceutical Research",2005,"10.1007/s11095-005-8177-9",846,"Hermeling et al. 2005 Pharmaceutical Research","WOS","","","",""
"1:177","structural features of covalently cross-linked hydroxylase and reductase proteins of soluble methane monooxygenase as revealed by mass spectrometric analysis","Kopp et al.","Journal of Biological Chemistry",2003,"10.1074/jbc.M301581200",847,"Kopp et al. 2003 Journal of Biological Chemistry","WOS","","","",""
"2:56","structural genomics of sars-cov-2 indicates evolutionary conserved functional regions of viral proteins","Srinivasan et al.","Viruses",2020,"10.3390/v12040360",848,"Srinivasan et al. 2020 Viruses","PubMed","","","",""
"2:417","structure of interferon-stimulated gene product 15 (isg15) from the bat species myotis davidii and the impact of interdomain isg15 interactions on viral protein engagement","Langley et al.","Acta Crystallogr D Struct Biol",2019,"10.1107/S2059798318015322",849,"Langley et al. 2019 Acta Crystallogr D Struct Biol","PubMed","","","",""
"2:329","structure of the s1 subunit c-terminal domain from bat-derived coronavirus hku5 spike protein","Han et al.","Virology",2017,"10.1016/j.virol.2017.04.016",850,"Han et al. 2017 Virology","PubMed","","","",""
"1:225","style, controls, and timing of fold-and-thrust deformation of the jago stock, northeastern brooks range, alaska","Peapples et al.","Canadian Journal of Earth Sciences",1997,"10.1139/e17-082",851,"Peapples et al. 1997 Canadian Journal of Earth Sciences","WOS","","","",""
"1:173","substitution at aspartic acid 1128 in the sars coronavirus spike glycoprotein mediates escape from a s2 domain-targeting neutralizing monoclonal antibody","Ng et al.","Plos One",2014,"10.1371/journal.pone.0102415",852,"Ng et al. 2014 Plos One","WOS","","","",""
"1:306","summer-habitat suitability modeling of myotis sodalis (indiana bat) in the eastern mountains of west virginia","De la cruz & Ward","Northeastern Naturalist",2016,"",853,"De la cruz & Ward 2016 Northeastern Naturalist","WOS","","","",""
"2:454","suppressed anti-inflammatory heat shock response in high-risk covid-19 patients: lessons from basic research (inclusive bats), light on conceivable therapies","Heck et al.","Clin Sci (lond)",2020,"10.1042/CS20200596",854,"Heck et al. 2020 Clin Sci (lond)","PubMed","","","",""
"2:340","suppression of host gene expression by nsp1 proteins of group 2 bat coronaviruses","Tohya et al.","J Virol",2009,"10.1128/JVI.02485-08",855,"Tohya et al. 2009 J Virol","PubMed","","","",""
"1:171","surface reflectance drives nest box temperature profiles and thermal suitability for target wildlife","Griffiths et al.","Plos One",2017,"10.1371/journal.pone.0176951",856,"Griffiths et al. 2017 Plos One","WOS","","","",""
"3:62","surveillance for coronaviruses in bats, lebanon and egypt, 2013-2015","Shehata et al.","",2016,"10.3201/eid2201.151397",857,"Shehata et al. 2016 ","CAB","","","",""
"2:186","surveillance of bat coronaviruses in kenya identifies relatives of human coronaviruses nl63 and 229e and their recombination history","Tao et al.","J Virol",2017,"10.1128/JVI.01953-16",858,"Tao et al. 2017 J Virol","PubMed","","","",""
"3:351","survival of aedes aegypti (diptera: culicidae) eggs in surface and subterranean breeding sites during the northern queensland dry season","Russell et al.","Journal of Medical Entomology",2001,"10.1603/0022-2585-38.3.441",859,"Russell et al. 2001 Journal of Medical Entomology","CAB","","","",""
"2:292","susceptibility to sars, mers, and covid-19 from animal health perspective","Gautam et al.","Open Vet J",2020,"10.4314/ovj.v10i2.6",860,"Gautam et al. 2020 Open Vet J","PubMed","","","",""
"2:343","swine enteric alphacoronavirus (swine acute diarrhea syndrome coronavirus): an update three years after its discovery","Yang et al.","Virus Res",2020,"10.1016/j.virusres.2020.198024",861,"Yang et al. 2020 Virus Res","PubMed","","","",""
"3:284","sylvatic rabies and the perception of vampire bat activity in communities in the ecuadorian amazon","Romero-Sandoval et al.","Cadernos de Saúde Pública",2014,"",862,"Romero-Sandoval et al. 2014 Cadernos de Saúde Pública","CAB","","","",""
"1:67","synanthropy of wild mammals as a determinant of emerging infectious diseases in the asian-australasian region","Mcfarlane et al.","Ecohealth",2012,"10.1007/s10393-012-0763-9",863,"Mcfarlane et al. 2012 Ecohealth","WOS","","","",""
"1:324","synergistic china-us ecological research is essential for global emerging infectious disease preparedness","Smiley evans et al.","Ecohealth",2020,"10.1007/s10393-020-01471-2",864,"Smiley evans et al. 2020 Ecohealth","WOS","","","",""
"3:358","synthesis and structural characterization of a mimetic membrane-anchored prion protein","Hicks et al.","FEBS Journal",2006,"10.1111/j.1742-4658.2006.05152.x",865,"Hicks et al. 2006 FEBS Journal","CAB","","","",""
"2:18","synthetic recombinant bat sars-like coronavirus is infectious in cultured cells and in mice","Becker et al.","Proc Natl Acad Sci U S a",2008,"10.1073/pnas.0808116105",866,"Becker et al. 2008 Proc Natl Acad Sci U S a","PubMed","","","",""
"2:30","systematic comparison of two animal-to-human transmitted human coronaviruses: sars-cov-2 and sars-cov","Xu et al.","Viruses",2020,"10.3390/v12020244",867,"Xu et al. 2020 Viruses","PubMed","","","",""
"3:297","taking forward a 'one health' approach for turning the tide against the middle east respiratory syndrome coronavirus and other zoonotic pathogens with epidemic potential","Zumla et al.","International Journal of Infectious Diseases",2016,"10.1016/j.ijid.2016.06.012",868,"Zumla et al. 2016 International Journal of Infectious Diseases","CAB","","","",""
"2:197","targeting zoonotic viruses: structure-based inhibition of the 3c-like protease from bat coronavirus hku4--the likely reservoir host to the human coronavirus that causes middle east respiratory syndrome (mers)","St et al.","Bioorg Med Chem",2015,"10.1016/j.bmc.2015.06.039",869,"St et al. 2015 Bioorg Med Chem","PubMed","","","",""
"3:281","taxonomy of the sokuluk virus (sokv) (flaviviridae, flavivirus, entebbe bat virus group) isolated from bats (vespertilio pipistrellus schreber, 1774), ticks (argasidae koch, 1844), and birds in kyrgyzstan","Lvov et al.","Voprosy Virusologii",2014,"",870,"Lvov et al. 2014 Voprosy Virusologii","CAB","","","",""
"3:279","technical specifications on harmonised epidemiological indicators for biological hazards to be covered by meat inspection of farmed game","European Food Safety Authority","EFSA Journal",2013,"",871,"European Food Safety Authority 2013 EFSA Journal","CAB","","","",""
"1:272","temperature profiles and bathymetry of some high mountain lakes","Leopold","Proceedings of The National Academy of Sciences of The United States of America",2000,"10.1073/pnas.97.12.6267",872,"Leopold 2000 Proceedings of The National Academy of Sciences of The United States of America","WOS","","","",""
"1:280","testing traditional assumptions about regional migration in bats","Krauel et al.","Mammal Research",2018,"10.1007/s13364-017-0346-9",873,"Krauel et al. 2018 Mammal Research","WOS","","","",""
"2:87","the 2019-new coronavirus epidemic: evidence for virus evolution","Benvenuto et al.","J Med Virol",2020,"10.1002/jmv.25688",874,"Benvenuto et al. 2020 J Med Virol","PubMed","","","",""
"2:433","the adenovirus dodecahedron: beyond the platonic story","Besson et al.","Viruses",2020,"10.3390/v12070718",875,"Besson et al. 2020 Viruses","PubMed","","","",""
"1:48","the adrenal cortex and steroidogenesis as cellular and molecular targets for toxicity: critical omissions from regulatory endocrine disrupter screening strategies for human health?","Harvey & Everett","Journal of Applied Toxicology",2003,"10.1002/jat.896",876,"Harvey & Everett 2003 Journal of Applied Toxicology","WOS","","","",""
"3:244","the animal connection","Webber","",2015,"10.1079/9781780646824.0107",877,"Webber 2015 ","CAB","","","",""
"1:364","the annual cycle of landfast ice in the eastern bering sea","Jensen et al.","Cold Regions Science and Technology",2020,"10.1016/j.coldregions.2020.103059",878,"Jensen et al. 2020 Cold Regions Science and Technology","WOS","","","",""
"3:236","the australian biosecurity crc for emerging infectious disease: delivering benefits to australia","Australia","",2010,"",879,"Australia 2010 ","CAB","","","",""
"1:358","the battle of frame building: the reciprocal relationship between journalists and frame sponsors","Wichgers et al.","International Journal of Press-politics",2020,"10.1177/1940161220942760",880,"Wichgers et al. 2020 International Journal of Press-politics","WOS","","","",""
"1:190","the catalytic domain of human neuropathy target esterase mediates an organophosphate-sensitive ionic conductance across liposome membranes","Forshaw et al.","Journal of Neurochemistry",2001,"10.1046/j.1471-4159.2001.00562.x",881,"Forshaw et al. 2001 Journal of Neurochemistry","WOS","","","",""
"2:464","the close genetic relationship of lineage d betacoronavirus from nigerian and kenyan straw-colored fruit bats (eidolon helvum) is consistent with the existence of a single epidemiological unit across sub-saharan africa","Leopardi et al.","Virus Genes",2016,"10.1007/s11262-016-1331-0",882,"Leopardi et al. 2016 Virus Genes","PubMed","","","",""
"3:327","the corticotrophin-releasing factor/urocortin system regulates white fat browning in mice through paracrine mechanisms","Lu et al.","International Journal of Obesity",2015,"10.1038/ijo.2014.164",883,"Lu et al. 2015 International Journal of Obesity","CAB","","","",""
"3:174","the current situation in the infections with rabies - are bats of a great fear for humans?","Satora et al.","Zycie Weterynaryjne",2018,"",884,"Satora et al. 2018 Zycie Weterynaryjne","CAB","","","",""
"2:285","the current understanding and potential therapeutic options to combat covid-19","Pooladanda et al.","Life Sci",2020,"10.1016/j.lfs.2020.117765",885,"Pooladanda et al. 2020 Life Sci","PubMed","","","",""
"1:40","the deadly coronaviruses: the 2003 sars pandemic and the 2020 novel coronavirus epidemic in china","Yang et al.","Journal of Autoimmunity",2020,"10.1016/j.jaut.2020.102434",886,"Yang et al. 2020 Journal of Autoimmunity","WOS","","","",""
"3:122","the discrepant epidemiology of middle east respiratory syndrome coronavirus (mers-cov)","MacIntyre","Environment Systems and Decisions",2014,"",887,"MacIntyre 2014 Environment Systems and Decisions","CAB","","","",""
"1:191","the effect of cover on the behaviour of japanese quail (coturnix japonica)","Buchwalder & Wechsler","Applied Animal Behaviour Science",1997,"10.1016/S0168-1591(97)00031-2",888,"Buchwalder & Wechsler 1997 Applied Animal Behaviour Science","WOS","","","",""
"1:270","the elliot lake uranium miners' battle to gain occupational health and safety improvements, 1950-1980","Macdowell","Labour-le Travail",2012,"",889,"Macdowell 2012 Labour-le Travail","WOS","","","",""
"2:274","the emerging novel middle east respiratory syndrome coronavirus: the ""knowns"" and ""unknowns""","Chan et al.","J Formos Med Assoc",2013,"10.1016/j.jfma.2013.05.010",890,"Chan et al. 2013 J Formos Med Assoc","PubMed","","","",""
"1:9","the feasibility of canine rabies elimination in africa: dispelling doubts with data","Lembo et al.","Plos Neglected Tropical Diseases",2010,"10.1371/journal.pntd.0000626",891,"Lembo et al. 2010 Plos Neglected Tropical Diseases","WOS","","","",""
"3:360","the filaria","Klei & Rajan","",2002,"",892,"Klei & Rajan 2002 ","CAB","","","",""
"2:175","the first disease x is caused by a highly transmissible acute respiratory syndrome coronavirus","Jiang & Shi","Virol Sin",2020,"10.1007/s12250-020-00206-5",893,"Jiang & Shi 2020 Virol Sin","PubMed","","","",""
"2:128","the first two cases of 2019-ncov in italy: where they come from?","Giovanetti et al.","J Med Virol",2020,"10.1002/jmv.25699",894,"Giovanetti et al. 2020 J Med Virol","PubMed","","","",""
"2:418","the genetic landscape of covid-19: a south asian perspective","Thomas et al.","J Pak Med Assoc",2020,"10.5455/JPMA.09",895,"Thomas et al. 2020 J Pak Med Assoc","PubMed","","","",""
"2:26","the genetic sequence, origin, and diagnosis of sars-cov-2","Wang et al.","Eur J Clin Microbiol Infect Dis",2020,"10.1007/s10096-020-03899-4",896,"Wang et al. 2020 Eur J Clin Microbiol Infect Dis","PubMed","","","",""
"2:97","the global spread of 2019-ncov: a molecular evolutionary analysis","Benvenuto et al.","Pathog Glob Health",2020,"10.1080/20477724.2020.1725339",897,"Benvenuto et al. 2020 Pathog Glob Health","PubMed","","","",""
"2:84","the hallmarks of covid-19 disease","Tang et al.","Plos Pathog",2020,"10.1371/journal.ppat.1008536",898,"Tang et al. 2020 Plos Pathog","PubMed","","","",""
"2:316","the heptad repeat region is a major selection target in mers-cov and related coronaviruses","Forni et al.","Sci Rep",2015,"10.1038/srep14480",899,"Forni et al. 2015 Sci Rep","PubMed","","","",""
"2:405","the immune gene repertoire of an important viral reservoir, the australian black flying fox","Papenfuss et al.","Bmc Genomics",2012,"10.1186/1471-2164-13-261",900,"Papenfuss et al. 2012 Bmc Genomics","PubMed","","","",""
"1:234","the impact of sea water immersion on the viability of psammophilous species leymus racemosus subsp sabulosus and ammophila arenaria","Vergiev et al.","Comptes Rendus De L Academie Bulgare Des Sciences",2013,"",901,"Vergiev et al. 2013 Comptes Rendus De L Academie Bulgare Des Sciences","WOS","","","",""
"1:117","the importance of protected areas for the forest and endemic avifauna of sulawesi (indonesia)","Lee et al.","Ecological Applications",2007,"10.1890/06-1256.1",902,"Lee et al. 2007 Ecological Applications","WOS","","","",""
"1:189","the influence of fire history on selection of foraging sites by barren-ground caribou","Barrier & Johnson","Ecoscience",2012,"10.2980/19-2-3508",903,"Barrier & Johnson 2012 Ecoscience","WOS","","","",""
"1:276","the influence of the delay-period setting on camera-trap data storage, wildlife detections and occupancy models","Lepard et al.","Wildlife Research",2019,"10.1071/WR17181",904,"Lepard et al. 2019 Wildlife Research","WOS","","","",""
"1:166","the landscape configuration of zoonotic transmission of ebola virus disease in west and central africa: interaction between population density and vegetation cover","Walsh & Haseeb","Peerj",2015,"10.7717/peerj.735",905,"Walsh & Haseeb 2015 Peerj","WOS","","","",""
"1:183","the large 386-nt deletion in sars-associated coronavirus: evidence for quasispecies?","Tang et al.","Journal of Infectious Diseases",2006,"10.1086/507044",906,"Tang et al. 2006 Journal of Infectious Diseases","WOS","","","",""
"2:393","the microbiology of coronaviruses","Zafar","J Pak Med Assoc",2020,"10.5455/JPMA.08",907,"Zafar 2020 J Pak Med Assoc","PubMed","","","",""
"3:40","the middle east respiratory syndrome coronavirus (mers-cov) - what is the risk? a review of recent studies","Józefiak et al.","Annals of Animal Science",2015,"",908,"Józefiak et al. 2015 Annals of Animal Science","CAB","","","",""
"2:302","the middle east respiratory syndrome--how worried should we be?","Perlman","Mbio",2013,"10.1128/mBio.00531-13",909,"Perlman 2013 Mbio","PubMed","","","",""
"1:224","the molluscan fauna from the upper pleistocene vertebrate-bearing deposits of s. teodoro cave (north-eastern sicily)","Esu et al.","Rivista Italiana Di Paleontologia E Stratigrafia",2007,"",910,"Esu et al. 2007 Rivista Italiana Di Paleontologia E Stratigrafia","WOS","","","",""
"1:218","the motus wildlife tracking system: a collaborative research network to enhance the understanding of wildlife movement","Taylor et al.","Avian Conservation and Ecology",2017,"10.5751/ACE-00953-120108",911,"Taylor et al. 2017 Avian Conservation and Ecology","WOS","","","",""
"3:277","the natural history of rabies 2nd edition","NA et al.","",1991,"",912,"NA et al. 1991 ","CAB","","","",""
"1:63","the nexus between forest fragmentation in africa and ebola virus disease outbreaks","Rulli et al.","Scientific Reports",2017,"10.1038/srep41613",913,"Rulli et al. 2017 Scientific Reports","WOS","","","",""
"2:50","the novel zoonotic covid-19 pandemic: an expected global health concern","Contini et al.","J Infect Dev Ctries",2020,"10.3855/jidc.12671",914,"Contini et al. 2020 J Infect Dev Ctries","PubMed","","","",""
"2:208","the orf4b-encoded accessory proteins of middle east respiratory syndrome coronavirus and two related bat coronaviruses localize to the nucleus and inhibit innate immune signalling","Matthews et al.","J Gen Virol",2014,"10.1099/vir.0.062059-0",915,"Matthews et al. 2014 J Gen Virol","PubMed","","","",""
"2:380","the origin of covid-19 and why it matters","Morens et al.","Am J Trop Med Hyg",2020,"10.4269/ajtmh.20-0849",916,"Morens et al. 2020 Am J Trop Med Hyg","PubMed","","","",""
"2:384","the origin of sars-cov-2","Burki","Lancet Infect Dis",2020,"10.1016/S1473-3099(20)30641-1",917,"Burki 2020 Lancet Infect Dis","PubMed","","","",""
"2:25","the origin, transmission and clinical therapies on coronavirus disease 2019 (covid-19) outbreak - an update on the status","Guo et al.","Mil Med Res",2020,"10.1186/s40779-020-00240-0",918,"Guo et al. 2020 Mil Med Res","PubMed","","","",""
"1:327","the pangolin's revenge: sars-cov-2 did not emerge from a lab but from wildlife exploitation","Gatti","Gaia-ecological Perspectives For Science and Society",2020,"10.14512/gaia.29.2.3",919,"Gatti 2020 Gaia-ecological Perspectives For Science and Society","WOS","","","",""
"2:88","the papain-like protease determines a virulence trait that varies among members of the sars-coronavirus species","Niemeyer et al.","Plos Pathog",2018,"10.1371/journal.ppat.1007296",920,"Niemeyer et al. 2018 Plos Pathog","PubMed","","","",""
"1:30","the pathogen batrachochytrium dendrobatidis disturbs the frog skin microbiome during a natural epidemic and experimental infection","Jani & Briggs","Proceedings of The National Academy of Sciences of The United States of America",2014,"10.1073/pnas.1412752111",921,"Jani & Briggs 2014 Proceedings of The National Academy of Sciences of The United States of America","WOS","","","",""
"2:227","the persistent prevalence and evolution of cross-family recombinant coronavirus gccdc1 among a bat population: a two-year follow-up","Obameso et al.","Sci China Life Sci",2017,"10.1007/s11427-017-9263-6",922,"Obameso et al. 2017 Sci China Life Sci","PubMed","","","",""
"2:427","the phylogeography of mers-cov in hospital outbreak-associated cases compared to sporadic cases in saudi arabia","Chen et al.","Viruses",2020,"10.3390/v12050540",923,"Chen et al. 2020 Viruses","PubMed","","","",""
"2:453","the prevalence, origin, and prevention of six human coronaviruses","Liu et al.","Virol Sin",2016,"10.1007/s12250-015-3687-z",924,"Liu et al. 2016 Virol Sin","PubMed","","","",""
"3:337","the rabies epidemic in trinidad of 1923 to 1937: an evaluation with a geographic information system","Mungrue & Mahabir","Wilderness and Environmental Medicine",2011,"10.1016/j.wem.2010.11.001",925,"Mungrue & Mahabir 2011 Wilderness and Environmental Medicine","CAB","","","",""
"1:176","the rabies situation in eastern europe","Matouch","Towards The Elimination of Rabies In Eurasia",2008,"",926,"Matouch 2008 Towards The Elimination of Rabies In Eurasia","WOS","","","",""
"2:178","the receptor binding domain of sars-cov-2 spike protein is the result of an ancestral recombination between the bat-cov ratg13 and the pangolin-cov mp789","Flores-alanis et al.","Bmc Res Notes",2020,"10.1186/s13104-020-05242-8",927,"Flores-alanis et al. 2020 Bmc Res Notes","PubMed","","","",""
"1:71","the relationship between environmental concern and acceptability of environmental impacts among visitors to to us national park settings","Floyd et al.","Journal of Environmental Management",1997,"10.1006/jema.1997.0151",928,"Floyd et al. 1997 Journal of Environmental Management","WOS","","","",""
"2:300","the relationship of severe acute respiratory syndrome coronavirus with avian and other coronaviruses","Jackwood","Avian Dis",2006,"10.1637/7612-042006R.1",929,"Jackwood 2006 Avian Dis","PubMed","","","",""
"1:170","the rise and fall of dominance","Falk","Biology & Philosophy",2001,"10.1023/A:1010611605295",930,"Falk 2001 Biology & Philosophy","WOS","","","",""
